country,year,lifeExp,pop,gdpPercap
Albania,1952,55.23,1282697,1601.056136
Albania,1957,59.28,1476505,1942.284244
Albania,1962,64.82,1728137,2312.888958
Albania,1967,66.22,1984060,2760.196931
Albania,1972,67.69,2263554,3313.422188
Albania,1977,68.93,2509048,3533.00391
Albania,1982,70.42,2780097,3630.880722
Albania,1987,72,3075321,3738.932735
Albania,1992,71.581,3326498,2497.437901
Albania,1997,72.95,3428038,3193.054604
Albania,2002,75.651,3508512,4604.211737
Albania,2007,76.423,3600523,5937.029526
Austria,1952,66.8,6927772,6137.076492
Austria,1957,67.48,6965860,8842.59803
Austria,1962,69.54,7129864,10750.72111
Austria,1967,70.14,7376998,12834.6024
Austria,1972,70.63,7544201,16661.6256
Austria,1977,72.17,7568430,19749.4223
Austria,1982,73.18,7574613,21597.08362
Austria,1987,74.94,7578903,23687.82607
Austria,1992,76.04,7914969,27042.01868
Austria,1997,77.51,8069876,29095.92066
Austria,2002,78.98,8148312,32417.60769
Austria,2007,79.829,8199783,36126.4927
Belgium,1952,68,8730405,8343.105127
Belgium,1957,69.24,8989111,9714.960623
Belgium,1962,70.25,9218400,10991.20676
Belgium,1967,70.94,9556500,13149.04119
Belgium,1972,71.44,9709100,16672.14356
Belgium,1977,72.8,9821800,19117.97448
Belgium,1982,73.93,9856303,20979.84589
Belgium,1987,75.35,9870200,22525.56308
Belgium,1992,76.46,10045622,25575.57069
Belgium,1997,77.53,10199787,27561.19663
Belgium,2002,78.32,10311970,30485.88375
Belgium,2007,79.441,10392226,33692.60508
Bosnia and Herzegovina,1952,53.82,2791000,973.5331948
Bosnia and Herzegovina,1957,58.45,3076000,1353.989176
Bosnia and Herzegovina,1962,61.93,3349000,1709.683679
Bosnia and Herzegovina,1967,64.79,3585000,2172.352423
Bosnia and Herzegovina,1972,67.45,3819000,2860.16975
Bosnia and Herzegovina,1977,69.86,4086000,3528.481305
Bosnia and Herzegovina,1982,70.69,4172693,4126.613157
Bosnia and Herzegovina,1987,71.14,4338977,4314.114757
Bosnia and Herzegovina,1992,72.178,4256013,2546.781445
Bosnia and Herzegovina,1997,73.244,3607000,4766.355904
Bosnia and Herzegovina,2002,74.09,4165416,6018.975239
Bosnia and Herzegovina,2007,74.852,4552198,7446.298803
Bulgaria,1952,59.6,7274900,2444.286648
Bulgaria,1957,66.61,7651254,3008.670727
Bulgaria,1962,69.51,8012946,4254.337839
Bulgaria,1967,70.42,8310226,5577.0028
Bulgaria,1972,70.9,8576200,6597.494398
Bulgaria,1977,70.81,8797022,7612.240438
Bulgaria,1982,71.08,8892098,8224.191647
Bulgaria,1987,71.34,8971958,8239.854824
Bulgaria,1992,71.19,8658506,6302.623438
Bulgaria,1997,70.32,8066057,5970.38876
Bulgaria,2002,72.14,7661799,7696.777725
Bulgaria,2007,73.005,7322858,10680.79282
Croatia,1952,61.21,3882229,3119.23652
Croatia,1957,64.77,3991242,4338.231617
Croatia,1962,67.13,4076557,5477.890018
Croatia,1967,68.5,4174366,6960.297861
Croatia,1972,69.61,4225310,9164.090127
Croatia,1977,70.64,4318673,11305.38517
Croatia,1982,70.46,4413368,13221.82184
Croatia,1987,71.52,4484310,13822.58394
Croatia,1992,72.527,4494013,8447.794873
Croatia,1997,73.68,4444595,9875.604515
Croatia,2002,74.876,4481020,11628.38895
Croatia,2007,75.748,4493312,14619.22272
Czech Republic,1952,66.87,9125183,6876.14025
Czech Republic,1957,69.03,9513758,8256.343918
Czech Republic,1962,69.9,9620282,10136.86713
Czech Republic,1967,70.38,9835109,11399.44489
Czech Republic,1972,70.29,9862158,13108.4536
Czech Republic,1977,70.71,10161915,14800.16062
Czech Republic,1982,70.96,10303704,15377.22855
Czech Republic,1987,71.58,10311597,16310.4434
Czech Republic,1992,72.4,10315702,14297.02122
