country,year,lifeExp,pop,gdpPercap
Australia,1952,69.12,8691212,10039.59564
Australia,1957,70.33,9712569,10949.64959
Australia,1962,70.93,10794968,12217.22686
Australia,1967,71.1,11872264,14526.12465
Australia,1972,71.93,13177000,16788.62948
Australia,1977,73.49,14074100,18334.19751
Australia,1982,74.74,15184200,19477.00928
Australia,1987,76.32,16257249,21888.88903
Australia,1992,77.56,17481977,23424.76683
Australia,1997,78.83,18565243,26997.93657
Australia,2002,80.37,19546792,30687.75473
Australia,2007,81.235,20434176,34435.36744
New Zealand,1952,69.39,1994794,10556.57566
New Zealand,1957,70.26,2229407,12247.39532
New Zealand,1962,71.24,2488550,13175.678
New Zealand,1967,71.52,2728150,14463.91893
New Zealand,1972,71.89,2929100,16046.03728
New Zealand,1977,72.22,3164900,16233.7177
New Zealand,1982,73.84,3210650,17632.4104
New Zealand,1987,74.32,3317166,19007.19129
New Zealand,1992,76.33,3437674,18363.32494
New Zealand,1997,77.55,3676187,21050.41377
New Zealand,2002,79.11,3908037,23189.80135
New Zealand,2007,80.204,4115771,25185.00911
